Gene,L1 larvae,L2 larvae,"L3 larvae, 12 hr post-molt","L3 larvae, dark blue gut PS(1-2)","L3 larvae, light blue gut PS(3-6)","L3 larvae, clear gut PS (7-9)"
mRpL18,46.9979,48.5383,30.1097,10.8622,9.40344,10.9135
ox,422.89,430.962,363.854,266.422,125.818,121.664
Dgkepsilon,12.3837,12.8506,11.7931,16.5822,22.3459,22.0673
Nacalpha,1405.25,1103.04,902.581,622.903,607.582,589.564
Cyp9h1,5.49028,3.80345,3.22977,13.732,10.8806,9.24092
CG17574,46.0417,58.0614,43.0572,113.557,95.2971,105.212
bic,573.05,412.281,355.781,232.613,254.593,268.807
CG3814,52.8807,77.8071,50.5936,46.3424,18.4842,22.0984
Nmda1,34.0633,29.5034,31.4569,46.2943,60.1773,94.4108
Aats-asp,109.247,110.426,103.484,92.7574,92.6089,126.567
CG13319,13.4963,19.754,15.5133,21.8579,26.2927,28.1119
CG17019,12.0146,9.2107,8.54438,10.7041,16.9095,19.9674
CG13322,5.87458,4.95896,5.04669,8.59222,14.9196,24.394
Sans,9.14599,12.9606,6.31003,5.16276,9.72181,17.6198
CG30487,0,0,0,3.76575,8.28043,16.4626
Mdr49,25.5885,22.9827,21.8557,11.4937,10.5974,19.2402
CG3884,129.127,129.175,138.255,119.842,82.2692,52.9079
CG13321,394.263,365.35,364.058,179.595,102.549,54.4279
CG13323,365.651,386.284,592.557,135.439,135.785,130.305
CG13324,37.6432,39.2224,62.1072,30.7728,28.6572,17.023
Cap-G,3.78309,4.28354,4.37336,8.19559,14.2682,14.2651
PR2,6.04259,5.34673,5.27468,9.83286,16.9973,27.3802
TppII,33.0489,41.2597,37.4221,47.8886,82.093,108.167
CG34439,145.16,139.136,98.9394,72.6363,45.2309,44.2033
Spt-I,34.2019,36.9632,28.6347,23.2777,25.5453,29.2065
CG33138,36.6493,47.8348,98.1405,56.5743,21.0053,10.5238
CG17724,11.2041,6.21745,6.4415,7.32086,15.5233,18.1839
seq,15.9458,4.30316,3.77144,3.84746,12.2865,11.1714
Aats-val,46.8247,53.1055,37.8031,14.5886,17.486,18.0645
AQP,6.34082,6.559,13.5546,10.0715,6.16541,2.42576
CG4627,19.7645,21.2771,15.4645,4.82818,4.7142,5.2074
CG4630,1.36361,1.84238,3.54433,10.0535,12.254,7.99427
CG4646,19.808,23.5014,20.0037,15.8298,17.1709,19.8731
CG17059,16.8263,29.609,26.5381,35.9881,37.5824,45.9964
Dp,34.0472,25.2238,21.8624,22.2645,29.3606,31.886
CG4663,18.1129,15.2121,15.8322,21.0818,20.5343,22.4531
CG12765,8.677,7.268,6.92159,7.67542,9.81455,12.5007
CG4670,21.3014,31.4819,34.6844,32.6772,29.0331,22.8603
CG4679,35.9451,43.3354,25.3454,6.47998,6.53288,7.41199
Mp20,2007.68,1829.25,2752.62,1921.92,1102.83,907.819
CG4716,0.017968,0.137075,8.28552,95.8595,40.2436,9.55677
CG10799,4.64666,8.63407,44.8831,123.776,78.7013,54.5302
CG42319,9.3464,9.69424,12.6083,28.8302,32.9183,29.5065
CG4734,61.7255,57.8839,137.473,418.965,347.986,191.066
CG17047,8.90244,52.0019,9.05073,2.71103,1.64688,0.867028
CG10814,1.80547,51.1101,8.42341,3.30385,0.27714,0.240228
CG42321,22.0717,18.0466,15.271,12.3248,18.8087,20.1759
CG30065,0,0,0,4.46348,9.91605,13.9888
cnn,8.28163,4.83214,4.64504,9.1133,19.4776,30.2408
cbs,6.4307,6.80862,4.73641,8.41357,10.4922,13.3382
arr,8.12944,4.9394,6.38936,8.66024,16.6194,19.4786
drk,11.7484,19.6015,13.88,19.9045,33.5013,44.3188
mars,1.08939,1.86963,2.49698,7.16031,12.6964,12.3835
EfTuM,293.44,272.297,197.017,43.5774,43.4821,39.9608
Vmat,31.6595,11.1106,4.86518,1.39717,3.32676,5.97315
CG13330,25.5288,6.57683,2.7729,2.14153,5.01474,5.40607
CG6145,19.764,21.7805,19.6193,21.9232,31.4186,49.5316
CG33156,10.7238,10.0175,5.88665,5.76283,7.65119,10.1026
Roe1,87.6829,85.3231,61.5527,21.5965,23.6581,27.5681
CG13335,19.7247,24.7866,66.4635,57.6654,58.1809,48.8154
CG6191,21.5499,14.4501,13.6337,11.3029,23.535,31.4453
CG6197,14.0241,14.1342,10.534,11.6703,15.8519,16.2788
CG34236,0.433608,0.83444,1.0417,5.27182,9.57588,16.6204
CG13340,0,0,1.11847,35.7084,94.4903,102.245
Cpr50Cb,3.28485,17.3527,44.3478,0.887509,0.664807,0.214079
stj,12.5863,4.38293,1.9149,1.4256,2.80669,3.15085
fl(2)d,25.1976,20.7989,14.967,12.6448,24.3607,32.5172
CG6329,30.4729,12.4788,2.95141,2.49818,4.61661,5.42008
CG6337,15.0086,105.825,72.5181,6.86703,5.5171,4.6851
CG6347,4.99482,81.6458,13.921,0.0575109,0.12193,0.0643399
CG6357,0.208517,0.128279,0.776248,10.5874,20.8825,31.9736
synaptogyrin,25.1376,8.33565,2.83918,1.70995,2.49859,2.5244
CG6543,285.62,360.237,532.795,251.136,109.898,74.3032
tum,1.64618,2.9119,4.39118,10.9813,14.3858,14.0111
CG13343,11.7552,16.816,15.4491,13.7157,15.6101,16.1857
CG16935,28.553,38.8231,41.7782,31.4712,23.1187,20.8246
shot,47.9836,33.7157,60.147,19.2345,45.8074,39.6107
AGO1,40.0854,24.3093,17.3687,10.9688,38.7544,48.5806
mRpL53,69.1386,85.7232,55.9558,34.3174,31.295,38.8708
CG33155,26.9342,19.7717,15.8099,9.02565,12.462,15.3356
CG13349,46.8774,81.9975,65.8903,98.856,179.586,244.122
Cp1,88.0794,177.258,218.51,278.689,526.24,773.224
Aats-phe,33.2037,35.779,31.1655,20.5331,17.5933,20.3065
CG18568,0.0580578,0.277333,0.633988,6.11948,13.7787,17.3039
CG6701,3.86245,5.80875,7.70326,15.9414,22.6429,28.1539
CG8067,10.7262,15.5447,12.8289,6.75026,6.90991,7.38258
RN-tre,13.782,12.4082,10.609,9.11242,14.9982,23.709
mam,14.0069,7.37516,7.02479,5.19442,18.3491,24.8361
Prosap,13.6095,7.35107,4.87164,4.12162,14.9981,21.7835
CG42288,0,0,0,2.52756,6.60169,10.7374
CG13018,6.64318,13.4551,10.3182,8.00695,5.97075,6.13539
CG13016,8.10166,8.47067,6.30425,7.47696,8.81266,10.8089
CG8257,5.69955,7.26728,5.25354,6.81396,10.0908,12.1493
O-fut1,6.06087,8.85013,6.77325,14.6936,22.6928,29.7667
Tango7,208.074,196.298,133.121,127.457,138.112,156.54
CG8323,24.1473,23.3393,20.6907,7.64302,4.47977,5.40776
CG18327,12.2307,14.656,16.4763,4.64978,0.525912,0.8249
CG18324,10.0674,14.8743,11.4584,7.71308,6.15935,7.55882
CG8331,154.583,222.232,176.321,219.79,163.327,150.371
mRpS16,63.7065,70.2211,46.5011,20.257,21.4155,26.0471
cg,39.6168,25.4935,21.0721,22.7771,40.0463,46.0153
CG30069,5.59342,7.44392,10.1794,6.16862,11.654,12.0077
CG8394,12.8427,3.83917,1.40771,0.904412,1.81263,2.16675
RpS23,2538.78,2210.4,1588.51,1392.27,1279.98,1410.69
CG8468,113.696,101.751,67.0839,41.269,44.2812,49.2328
opa1-like,51.947,50.853,46.2814,31.3049,32.0016,32.2194
CG8485,14.9728,12.5581,8.32397,6.07505,9.49612,13.1313
CG8494,6.12084,5.81169,4.55144,5.52288,8.71227,11.7574
CG8503,19.0119,26.553,34.394,10.4163,7.49884,5.31189
Mdr50,8.00392,12.4045,7.09636,16.6187,10.7908,10.621
Hsc70-5,306.336,269.346,189.961,45.3158,48.6639,51.2577
CG8531,52.7587,61.5252,49.1096,25.3746,27.9836,30.9949
beta4GalNAcTA,14.8761,13.9392,10.0818,7.20302,8.66909,10.6332
CG8547,82.4936,44.7544,61.7182,66.1008,90.7383,80.8448
SelD,153.386,139.765,109.938,76.4815,100.217,101.734
Ih,24.9,12.7439,14.8549,12.1798,21.2639,31.8801
CG8613,10.9932,11.5146,10.8338,12.6894,13.3973,14.7889
CG8617,8.3837,6.03562,5.74164,8.89324,13.4095,14.0337
Arc1,12.2243,8.40381,37.5066,43.8357,58.0954,59.1457
Tfb1,27.5568,19.3494,20.7794,26.0568,30.1599,31.7422
CG17385,44.1596,35.6201,35.3103,34.2888,41.153,39.0217
CG17386,0.239342,6.5082,8.36881,0.296096,12.5705,78.1339
L,25.813,16.3322,20.1122,19.3267,18.2839,19.0581
Asx,9.59016,5.36568,5.16433,4.59469,11.5902,13.4087
Cpr51A,11.9501,296.394,325.121,31.5279,29.3617,14.3545
CG30197,40.2319,0,88.4784,37.5596,55.1871,58.8949
LamC,154.511,105.49,118.023,58.2298,59.7991,31.2862
RpI1,49.4,23.3967,17.862,6.6515,8.66996,8.69289
CG30077,13.9848,15.0571,10.8407,12.681,13.192,17.784
tra2,11.3114,9.64112,11.7948,12.7782,18.1049,21.6591
CG12868,2.10197,4.21103,6.81792,12.2627,10.706,17.1941
Su(var)2-HP2,4.18352,4.10234,3.46431,3.66016,7.97025,10.0962
Sec61beta,199.475,380.7,262.672,148.936,128.589,183.033
Uhg5,14.056,11.8449,6.50605,4.11134,3.73566,7.64174
CG10131,28.4738,43.5538,44.6476,16.9775,18.6999,16.4127
CG10139,11.8784,8.57764,7.12964,10.939,14.8178,17.7675
CG12861,0,0.0104634,0.487732,23.3722,57.3584,76.2034
CG12860,0,0.0193999,0.145519,14.5837,44.4126,55.9222
mspo,19.4782,8.42348,5.83156,3.57941,5.45779,5.8931
CG30479,13.4527,10.0697,8.62155,13.7321,10.4628,3.0253
CG12858,25.9296,8.36606,2.8514,0.895724,1.5611,1.07686
Dro,5.20381,1.07527,14.7997,57.1562,123.216,74.4078
AttA,1.0133,0.342448,8.21904,24.905,30.416,14.9354
AttB,0.633123,0.235395,8.09518,19.6943,19.0592,4.07821
Rpn6,50.244,91.9349,67.4233,114.322,222.432,367.91
ave,5.1625,5.00585,4.14074,6.61144,9.6163,17.8208
CG12859,166.825,155.698,142.333,71.9003,43.0018,36.6669
CG10153,9.35019,12.8299,8.24986,15.7287,17.0458,22.3001
CG12857,0.0973723,0.063427,0.256763,3.82665,7.41471,11.7055
Spred,23.3713,13.0934,8.5306,8.64158,15.7981,19.0021
BEAF-32,27.7586,22.5161,16.2073,23.516,33.431,40.5457
CG10200,274.671,347.308,267.42,112.1,64.0808,78.5967
CG10205,16.4452,75.5664,27.3508,11.7092,11.7864,11.8623
NaPi-T,24.6301,13.6065,24.721,16.3126,12.7325,14.2348
SMC2,1.24832,2.40484,3.00426,6.98071,9.14985,10.3349
Ciao1,47.5849,38.3882,30.9441,24.2324,28.2731,30.5248
CG33506,15.1218,25.962,20.4005,9.79986,8.6889,9.44756
Pcf11,18.5384,15.02,13.703,17.4384,25.0791,32.2588
Cyp6a17,20.6743,13.6651,18.998,32.4143,16.4173,10.6668
Cyp6a23,9.62495,11.2503,15.7522,17.9925,5.18398,1.68526
Cyp6a21,4.29257,32.783,18.1037,20.286,7.04777,3.90594
Cyp6a8,33.6923,38.8131,61.269,25.3778,7.02276,2.30345
CG10249,28.2137,27.0887,32.9925,19.7548,19.3971,16.887
CG12853,0.0407394,0,0.243605,7.40874,14.0849,20.8401
Lap1,3.98616,2.75556,1.82654,2.58222,6.28458,11.7641
aPKC,25.4239,19.8564,12.9226,10.8723,22.7448,25.1072
CG30475,20.9945,4.71924,1.97385,0.868575,3.07746,2.51053
CG12424,18.168,8.34657,11.0787,6.61905,14.6983,17.0477
pcs,12.3484,11.4183,9.28065,11.1672,21.1593,35.8277
CG7639,34.1993,29.6153,23.0351,9.22525,8.3087,8.55943
chn,27.8167,8.02827,4.29457,3.70092,9.14413,10.5514
CG34186,16.6158,20.9278,15.7728,13.7982,15.2584,21.0206
igl,24.1045,12.4931,4.03128,1.46911,1.65703,2.39212
CG8090,3.81343,7.23586,6.36314,8.04314,9.47136,14.6209
CG11807,8.95046,10.4886,9.61327,10.2207,14.5442,20.0865
CG8093,29.7356,7.19685,29.0044,38.6386,46.5307,63.2706
mRpL41,34.6309,41.1413,28.3724,11.7202,9.8203,12.8296
CG8079,5.15116,4.51833,4.87611,5.07009,7.30063,10.757
Hex-C,14.5206,24.8595,67.263,1.08277,0.465181,1.51612
scb,17.6686,22.8168,21.0418,22.5518,30.4953,50.1663
CG34123,11.8886,6.55963,7.05499,5.70566,9.53219,10.1538
mus210,11.6919,7.25483,6.31241,10.5851,18.6545,24.1059
CG8155,5.90462,5.75576,4.80945,6.31162,11.2956,16.3548
Arf51F,36.8322,36.3725,24.1505,20.2508,26.345,36.8045
CG8157,409.561,215.326,289.305,55.7707,43.5718,10.1517
CG8160,212.389,169.155,65.7891,31.5315,19.2272,4.13309
SRPK,21.461,19.9879,18.0655,16.4692,29.3467,39.3158
Mtk,1.74623,0.884701,8.8482,61.6992,211.524,146.191
CG34318,14.5566,4.4943,1.07538,0.561448,0.790999,0.966565
CG8180,9.7376,4.01034,10.7251,6.3337,8.96232,15.6179
CG12964,2.14034,80.8901,26.4616,1.22069,2.09542,2.06592
GalNAc-T1,21.5573,42.7581,30.3028,27.6745,27.1319,25.8861
Khc-73,19.2931,12.9554,10.5351,10.3257,21.4038,24.0961
CG30471,0.151781,10.4018,5.33489,0.292778,0.687477,0.856745
CG30467,6.25579,5.14932,4.212,7.01988,9.76687,14.1835
Vha36,483.103,381.072,319.282,225.363,168.866,165.583
eIF2B-gamma,18.9856,18.132,16.9262,14.0519,15.0708,18.7091
CG8192,15.6037,30.3358,36.684,2.87646,1.92323,1.41798
CG12963,38.9715,28.7426,31.0241,62.6154,67.7355,93.7039
CG8195,3.20996,3.39288,2.62684,5.69662,10.4528,18.7228
Flo,54.2894,41.7824,39.3628,43.9352,48.3757,39.7101
Cdk5,7.17889,6.4181,5.80369,7.30395,10.2667,11.9657
CG8204,16.8559,11.0164,11.0265,10.097,12.0796,15.6998
fus,19.5756,27.3018,21.0598,16.6682,22.719,23.6282
CG8207,14.4206,19.188,13.872,17.8904,17.1099,16.1062
Vha14,369.323,300.046,314.161,266.964,165.557,154.689
CG30091,1.49327,2.25494,7.04822,14.9278,13.1299,6.99976
Ranbp11,18.3643,15.6578,16.0078,13.9615,18.3724,15.8566
CG30090,0.792618,2.41735,12.5253,22.3877,12.2002,11.8674
CG33460,0.606146,1.9143,9.26519,25.4558,13.4392,9.68076
CG30080,0.530917,0.293479,4.1606,7.86163,16.6495,24.7987
CG30083,0.0155535,0.0123827,0,0.69647,6.20037,19.1858
CG30089,9.71508,6.45263,2.89486,2.14967,4.86957,10.7701
CG8249,15.2937,9.72082,12.1274,3.09148,2.33558,2.85553
tun,13.6094,5.96798,4.50676,5.66207,10.664,14.9332
Gpo-1,210.716,256.161,198.371,45.6704,17.1134,6.55931
CG33464,24.3293,10.1181,4.18681,5.25418,16.8991,21.3534
sli,21.7021,8.33803,3.76924,4.21977,12.6362,15.246
Iap2,25.9663,20.7643,17.7593,20.1968,26.5697,28.742
CG8297,11.3823,12.0977,9.09746,12.611,12.5575,19.4519
Mlf,55.0984,36.8607,26.8824,27.9758,44.9125,53.5087
CG8299,0.714267,5.20539,24.3117,272.402,162.612,64.9457
CG8314,44.1719,30.8793,28.2697,31.8999,32.4653,34.4791
CG8315,19.935,21.0529,17.9646,14.2279,11.9097,14.2907
CG8320,18.7915,32.4755,20.3399,10.6286,9.76207,12.7757
ATPCL,90.7547,158.405,158.546,78.8275,78.9753,123.139
CG8386,49.8275,66.7686,57.6608,49.791,40.7924,46.4412
CG8389,4.37479,4.15274,9.80627,21.4908,28.5754,25.3274
Rrp42,26.9771,14.7602,11.478,7.40409,8.28547,9.44801
CG8397,55.6451,66.2425,48.4491,49.4147,48.1652,54.3117
CG8399,53.5279,35.1718,34.1893,30.922,47.1751,40.4896
casp,23.8796,20.166,18.5023,23.6224,43.7611,77.6198
SP2353,16.2755,6.21547,2.13428,1.64183,5.06167,6.57651
CG8405,17.4313,16.4005,17.9002,14.1222,26.2718,36.8955
Dg,22.4065,18.6421,10.9594,11.3541,27.633,44.1955
mRpL34,64.0337,58.8366,42.8096,16.0613,15.4153,17.4737
CG8414,12.7706,8.51834,5.58027,2.8766,3.72044,5.63181
Rho1,172.305,176.439,172.079,206.506,307.343,447.247
Ric,19.4581,13.405,10.2555,9.06873,13.7122,13.09
Asph,52.181,66.8013,61.0784,25.7311,34.2434,108.245
spin,24.4016,26.0199,21.9733,15.3993,20.2591,23.5048
Got1,245.048,239.979,241.107,241.298,148.891,99.3744
Aats-cys,24.2648,29.2497,21.0022,11.674,11.7813,12.3687
CG10734,0.029529,0.0313353,0.100807,4.10717,11.808,19.3432
lbk,9.76877,7.136,6.60256,10.0156,16.3706,19.0494
CG8435,7.66912,8.07855,6.30164,6.67653,8.2934,12.6715
Ptp52F,8.64919,9.91245,7.60601,13.4165,19.7064,67.5357
Lis-1,28.2456,23.3561,16.1994,18.1652,29.2927,44.4276
CG8441,6.13112,9.57604,7.64363,9.09008,12.2278,14.6472
CG8443,71.8227,52.2411,38.1126,10.9334,18.2329,22.8968
CG8446,157.248,145.657,172.651,188.149,208.224,225.171
shark,7.53262,6.62519,5.98028,6.99424,10.4727,11.2586
mrj,10.5605,13.3169,16.5561,14.2396,23.3328,40.4527
CG7798,27.7502,1.63463,7.00649,7.18284,1.04503,1.17081
CG15706,16.4795,17.1831,17.9275,16.3913,17.3623,25.1175
CG3687,0,0,0.171826,5.20321,10.4347,13.2063
krimp,0.62863,0.782797,1.61348,6.19992,9.54272,13.0136
fidipidine,7.70391,9.16489,7.64552,11.336,14.3864,18.2144
csul,16.1043,11.7121,9.08719,8.37178,9.67104,9.96643
Khc,51.6175,63.4116,46.8548,35.8203,45.6113,49.335
CG30324,0.0885203,0.0352372,0.264315,6.59373,15.9622,18.495
JhI-26,18.6912,21.2007,47.4512,69.8117,25.8803,11.7633
CG30100,21.1513,17.3564,1.59E-10,1.29E-10,14.27,14.7792
CG42372,0.77382,3.25261,17.8233,14.7468,0.357647,0.460619
Atg9,13.7887,9.80948,17.8805,64.978,77.9486,60.7132
Nox,3.489,2.9353,4.02655,6.83094,14.4469,10.2356
Vha44,222.449,184.567,153.805,86.0471,74.1004,66.8279
Hmgs,82.1177,195.696,60.3491,36.6818,28.64,40.5846
CG7997,2.48981,7.47056,30.1581,42.435,33.7565,21.9242
Nup62,17.7575,16.4805,12.6047,14.6112,18.4755,23.5605
l(2)k07824,37.2364,18.8608,10.6946,5.88824,7.07098,8.3287
CG6262,0.00625078,0.00497323,0.177234,4.92407,13.1344,15.4214
CG15711,0,0,0,2.2512,6.6703,10.0707
CG33960,10.0305,2.64717,1.07224,3.34833,12.3071,19.9793
CG4409,11.4674,4.23808,1.58589,5.38448,9.24966,16.799
CG15712,0.136412,10.5209,6.92435,0,0,0
CG4439,0,0.00529048,0.793679,18.3689,49.7864,60.4677
CG7813,0.0116493,0.00463723,0.0298148,3.89228,11.7906,15.7516
Sema-2a,22.6509,13.918,6.15447,14.9311,35.6354,61.341
loopin-1,0.0137871,0,1.40419,33.5102,96.7501,107.611
RpS15,2975.95,2595.09,1977.95,1718.19,1580.37,1842.17
CG8317,39.7727,28.9423,94.7846,205.332,336.951,250.1
Cdk4,19.8017,20.3689,7.75024,7.30799,10.9106,14.5434
RpLP2,4682.67,3921.49,3487.4,2662.84,2412.65,2767.1
CG8311,10.7295,10.5775,8.40535,15.6764,15.892,13.3131
CG8306,34.5973,159.89,50.4838,36.4029,38.2311,39.0491
CG8303,19.8347,45.9105,30.3273,1.77431,1.76572,1.93405
CG5089,0,0,0,20.5816,45.3684,56.5502
CG5065,16.6999,65.1918,12.6299,4.94018,7.91697,10.9
gprs,11.6708,3.68048,1.16558,0.436362,0.88817,0.741148
Amyrel,22.8467,4.93327,21.9554,5.24204,8.03493,8.86149
Picot,147.464,160.464,74.4313,47.9953,29.7225,49.1004
CG34458,0.555825,17.0368,21.3384,0.255276,0.0862175,0.0676167
CG30463,14.2986,16.5541,12.3192,13.0185,19.8914,24.3532
Chit,298.772,400.488,552.685,532.175,288.7,82.2325
unc-104,34.3603,13.0439,5.40729,3.26361,8.69723,14.4011
Sod2,158.07,249.995,192.317,107.698,72.2199,67.9734
Arp53D,0,0,0.290878,6.45945,14.3109,19.7508
CG5522,6.11877,4.5735,3.75915,4.25645,7.79069,12.9651
CG15919,0.215106,29.3784,6.65456,0.161578,1.4395,2.37954
CG15615,1.96597,73.7648,50.2139,2.12596,0.121774,0.0833451
CG5550,4.9293,15.6744,21.6867,11.0704,2.99349,1.2854
Ugt37c1,28.6216,4.15016,24.9547,0.863919,0.106796,0.0837557
Fen1,10.2929,9.25339,5.80479,7.48902,8.06438,9.01973
Dek,36.3411,46.5458,30.0205,34.5458,50.5155,55.6468
Psi,19.9713,15.3714,13.3186,10.3835,22.4976,23.7675
Ef1beta,951.815,973.742,875.333,743.618,666.403,645.662
CG6426,55.0818,71.3732,78.763,103.645,78.1189,47.9249
CG34415,4.96083,4.21785,4.2665,5.44165,9.11945,11.2826
CG34191,55.9902,78.8974,60.4379,43.0091,35.6945,42.8667
veg,12.2256,10.823,7.70463,9.12336,11.5388,12.437
CG6665,7.03205,7.127,5.79962,8.53052,13.3836,18.4603
CG9010,0.0238013,0.0189491,0.0812215,4.57065,11.7589,15.3749
Cbp53E,32.3698,12.4319,3.80727,3.5706,3.1809,3.12857
NiPp1,7.65014,6.49379,4.31477,6.98543,9.56617,12.1479
CG6805,19.7773,18.62,22.4243,18.3684,24.3109,28.3483
CG15609,15.3308,11.2182,11.2341,12.5663,28.1059,52.2669
CG8963,27.2311,44.5725,36.1038,47.5239,78.7734,93.0582
Ark,6.40036,5.87921,4.00929,6.49552,18.4201,39.6677
RhoGEF2,11.5739,11.191,11.6958,14.561,27.1158,41.0865
CG30459,0,0,0,2.75535,6.91193,10.3806
CG9646,12.2695,6.88139,6.10303,5.70928,11.1919,19.3669
fat-spondin,64.5006,68.7515,99.4781,45.3345,38.6898,32.4215
CG30460,9.88585,7.06188,8.94782,9.42293,17.8645,18.0084
Sply,85.6179,122.48,88.018,108.965,166.902,298.928
CG6984,6.71607,14.1378,14.5803,10.2705,10.118,11.5326
GstS1,84.324,101.982,121.297,121.708,137.862,125.836
CG30456,8.73654,9.61062,9.47673,15.3549,16.9815,18.7624
CG15611,21.1107,13.3725,17.9956,21.0489,16.0438,13.3067
Amy-p,86.7327,105.145,260.88,260.425,203.886,54.3877
Amy-d,8.06807,10.7548,49.253,216.171,218.187,54.52
CG15917,2.84251,3.17841,3.05169,11.9364,31.1616,62.0098
CG11395,17.5227,31.2162,56.4108,80.1171,70.1941,54.3449
CG17290,4.14104,50.3685,463.976,1.9547,0.570972,0.0746315
CG30458,22.8827,51.5133,393.969,1.97208,1.40964,0.338123
CG30457,1074.55,508.322,1289.17,64.8747,6.4238,0.911112
CG10953,348.114,179.827,770.264,47.2846,4.63309,0.446687
CG12699,0.0293858,0.0350928,2.95822,58.6575,136.108,186.856
mbl,16.5495,11.5734,11.8642,5.36527,12.3547,12.8904
Sip1,36.0197,35.7158,33.2862,44.0008,49.3938,54.4737
CG6568,7.4073,6.18046,5.40885,6.50805,9.09875,10.9537
CG30101,2.44557,91.3144,49.0295,0.12006,0.364386,1.11487
cnk,7.73478,5.56513,5.96554,5.93667,10.4872,11.932
l(2)k01209,29.9768,20.0607,16.5928,12.2538,16.5578,21.3164
CG6550,14.7586,9.93752,6.44907,5.29899,5.21146,5.60188
CG4802,74.7529,63.2743,51.9444,31.6419,24.352,23.1377
Bap55,15.0796,19.5609,15.8283,19.2996,22.9802,27.0577
EDTP,11.2738,7.87659,8.72425,11.7495,19.4544,33.5162
mthl3,3.15628,14.7242,20.7622,23.5047,25.9358,33.5598
CG10764,0.00834708,0.179427,1.15361,4.8447,12.1579,21.1514
robl,66.8981,65.4496,46.8667,55.7071,61.6212,86.3113
CG14478,22.6755,14.9581,10.9989,13.3665,31.2592,52.8718
CG6522,4.60497,4.36816,3.23486,5.31882,9.71541,11.6986
qkr54B,2.43276,3.30112,3.31311,4.02834,8.75607,10.4157
CG30104,1.50373,3.05956,8.73696,12.7223,24.065,39.4586
CG18431,12.1716,43.638,24.9772,66.7607,170.987,183.043
CG4844,3.13837,0.0716715,9.84554,62.3517,0.0418467,0.830796
CG34193,0,0.320918,0.0653052,0.111299,5.66694,202.75
CG4847,35.5601,33.852,188.806,224.745,61.9365,13.6889
CG4853,15.2253,10.9992,9.00696,11.2273,15.6394,19.8371
CG4866,23.7524,18.5603,12.2789,6.98376,7.614,12.1783
ssp4,24.6473,17.182,14.209,11.4809,24.8124,27.3253
eIF3-S9,266.825,272.217,192.112,159.204,178.422,214.393
CG34194,33.0111,24.6527,14.994,9.29345,4.31884,4.77875
cyp33,11.8738,12.2338,8.62999,11.3278,11.8593,15.8594
RpL18A,3945.09,2927.69,2498.81,2070.16,1923.68,2022
MESR4,10.6499,5.47267,4.92466,4.06868,8.46892,11.7508
CG14480,7.4984,11.2488,6.9352,9.35387,13.8432,18.9769
CG14482,377.988,295.512,305.467,157.578,77.9361,74.4779
CG42239,10.7809,25.8808,23.6644,30.8271,26.0768,36.7656
Rab4,21.9647,21.9215,22.1711,31.8919,41.0007,55.0415
Dcr-2,3.91487,5.14929,6.41818,10.1224,17.4032,22.7945
CG6484,33.4155,32.0492,9.15815,7.17438,1.17738,0.461685
CG14483,68.9161,76.7125,72.604,61.8398,41.4083,35.796
icln,21.7617,24.4665,17.1494,19.2875,25.7438,31.102
lack,14.3331,11.112,10.1102,11.8485,19.6948,22.6503
CG10936,10.9901,19.6403,16.5432,12.8999,15.1974,13.022
eIF3-S8,266.52,211.014,165.979,130.392,157.627,160.135
CG30109,14.338,15.2714,9.54459,6.8276,9.36382,12.4188
CG6459,155.586,145.133,85.5604,27.8484,31.3357,33.1781
Sema-1b,14.2392,13.3631,12.6278,10.4903,23.2022,37.4417
CG4966,6.95775,4.6578,5.08602,5.93865,8.15252,10.6741
rdgBbeta,13.9176,13.3599,5.95686,3.0052,3.9483,7.0378
Uhg1,11.1632,9.55632,4.83236,2.96523,3.16906,5.81624
CG6424,35.669,15.4735,15.3382,15.7062,23.4433,27.4408
CG10934,0.0151923,0.0229297,0.149358,5.56197,13.9055,16.6538
CG10933,1.89176,3.39471,2.39157,7.38038,10.1644,17.723
CG6410,5.07205,7.49622,5.32464,7.83227,10.9407,16.8302
CG4984,50.1211,35.3862,51.6876,17.7554,6.41852,8.05128
CG6406,11.7048,9.65003,8.00888,6.37702,8.98695,10.5252
CG4996,5.27933,4.29697,3.528,4.06893,6.31713,10.3246
CG5002,18.2947,27.2178,21.2333,18.3423,27.7679,39.1463
CG6385,34.5999,16.7003,51.3099,29.2027,21.8734,6.93548
CG5009,23.1522,25.9631,30.8395,43.9401,27.9542,27.3301
CG6370,44.0182,111.237,76.3032,60.6006,62.2243,74.6864
fab1,5.29511,5.51665,5.48861,6.23293,12.5424,17.6552
aft,3.22316,4.87799,4.41264,8.86919,11.735,14.5816
UbcD10,52.4775,52.8225,41.1455,50.1128,60.8881,101.527
CG5033,66.2939,34.4846,21.8011,10.6188,11.0594,12.2757
CG5036,18.0333,6.9934,3.28787,2.88376,7.7302,13.1047
grh,15.0517,8.41279,12.0298,6.68422,17.982,19.06
olf186-F,13.3263,12.3747,11.834,15.7524,28.1268,30.8879
Mapmodulin,34.3755,41.0085,23.9818,39.6819,63.1096,89.5189
CG5084,209.332,443.337,636.553,1005.19,611.352,225.489
CG10910,181.916,150.517,214.146,274.83,181.368,70.8195
CG5773,146.462,153.783,142.856,218.292,223.648,53.3248
CG5770,48.7981,46.4417,40.3016,328.187,380.269,342.349
CG5767,354.018,236.121,269.358,494.954,335.589,176.89
